time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,8,1,8,1,0,0,0,,,0,False,0.0
3,7,1,7,1,0,0,0,,,0,False,0.0
4,6,1,5,1,0,0,0,,,0,False,0.0
5,5,1,5,1,0,0,0,,,0,False,0.0
6,4,1,4,1,0,0,0,,,0,False,0.0
10,3,2,6,2,0,0,0,,,0,False,0.0
13,2,1,2,1,0,0,0,,,0,False,0.0
15,1,1,1,1,0,0,0,,,0,False,0.0
19,1,3,1,1,0,0,0,,,0,False,0.0
20,1,3,1,1,0,0,0,,,0,False,0.0
22,1,4,2,1,0,0,0,,,0,False,0.0
26,1,9,7,1,0,0,0,,,0,False,0.0
28,1,8,3,1,0,0,0,,,0,False,0.0
29,1,7,3,1,0,0,0,,,0,False,0.0
31,2,8,4,2,0,0,0,,,0,False,0.0
37,2,6,7,2,0,0,0,,,0,False,0.0
40,1,4,0,0,0,0,0,,,0,False,0.0
41,1,4,0,0,0,0,0,,,0,False,0.0
42,2,5,2,1,0,0,0,,,0,False,0.0
43,1,3,0,0,0,0,0,,,0,False,0.0
44,2,4,2,1,0,0,0,,,0,False,0.0
45,1,3,0,0,0,0,0,,,0,False,0.0
46,2,4,2,1,0,0,0,,,0,False,0.0
47,2,4,2,1,0,0,0,,,0,False,0.0
48,1,3,1,1,0,0,0,,,0,False,0.0
50,1,3,3,1,0,0,0,,,0,False,0.0
55,1,4,1,1,0,0,0,,,0,False,0.0
56,1,7,2,1,0,0,0,,,0,False,0.0
57,1,7,2,1,0,0,0,,,0,False,0.0
61,1,10,7,1,0,0,0,,,0,False,0.0
63,1,12,2,1,0,0,0,,,0,False,0.0
64,1,11,1,1,0,0,0,,,0,False,0.0
65,1,9,2,1,0,0,0,,,0,False,0.0
69,2,11,6,2,0,0,0,,,0,False,0.0
73,1,11,5,1,0,0,0,,,0,False,0.0
75,1,9,3,1,0,0,0,,,0,False,0.0
76,1,9,3,1,0,0,0,,,0,False,0.0
77,1,9,3,1,0,0,0,,,0,False,0.0
78,1,9,3,1,0,0,0,,,0,False,0.0
83,1,13,2,1,0,0,0,,,0,False,0.0
84,1,12,2,1,0,0,0,,,0,False,0.0
89,2,14,8,2,0,0,0,,,0,False,0.0
90,1,10,2,1,0,0,0,,,0,False,0.0
92,1,7,1,1,0,0,0,,,0,False,0.0
93,1,6,2,1,0,0,0,,,0,False,0.0
96,1,4,2,1,0,0,0,,,0,False,0.0
100,1,3,3,1,0,0,0,,,0,False,0.0
101,1,3,2,1,0,0,0,,,0,False,0.0
104,1,4,2,1,0,0,0,,,0,False,0.0
106,1,3,1,1,0,0,0,,,0,False,0.0
108,1,4,2,1,0,0,0,,,0,False,0.0
109,1,3,2,1,0,0,0,,,0,False,0.0
110,1,2,1,1,0,0,0,,,0,False,0.0
111,1,1,0,0,0,0,0,,,0,False,0.0
112,1,2,1,1,0,0,0,,,0,False,0.0
114,1,3,2,1,0,0,0,,,0,False,0.0
115,1,2,1,1,0,0,0,,,0,False,0.0
120,1,5,3,1,0,0,0,,,0,False,0.0
121,1,4,2,1,0,0,0,,,0,False,0.0
124,1,3,1,1,0,0,0,,,0,False,0.0
126,1,1,0,0,0,0,0,,,0,False,0.0
127,1,1,0,0,0,0,0,,,0,False,0.0
