time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,8,1,8,1,7,0,0,7,7,0,False,0.0
3,7,1,7,1,6,0,0,8,8,0,False,0.0
4,6,1,4,1,3,0,0,8,8,0,False,0.0
5,5,1,5,1,4,0,0,8,8,0,False,0.0
6,4,1,4,1,3,0,0,8,8,0,False,0.0
10,3,2,6,2,3,0,0,8,8,0,False,0.0
13,1,1,1,1,0,0,0,8,8,0,False,0.0
15,1,1,1,1,0,0,0,8,8,0,False,0.0
19,1,3,1,1,0,0,0,8,8,0,False,0.0
20,1,3,1,1,0,0,0,8,8,0,False,0.0
22,1,4,2,1,0,0,0,8,8,0,False,0.0
26,1,9,6,1,0,0,0,8,8,0,False,0.0
28,2,8,6,2,1,0,0,8,8,0,False,0.0
31,2,8,4,2,0,0,0,8,8,0,False,0.0
37,2,6,7,2,0,0,0,8,8,0,False,0.0
40,1,4,0,0,0,0,0,,,0,False,0.0
41,1,4,0,0,0,0,0,,,0,False,0.0
42,1,5,1,1,0,0,0,8,8,0,False,0.0
44,1,4,1,1,0,0,0,8,8,0,False,0.0
45,1,3,0,0,0,0,0,,,0,False,0.0
46,2,4,2,1,1,1,0,8,8,0,False,0.0
47,2,4,2,1,1,0,0,8,8,0,False,0.0
48,1,3,1,1,0,0,0,8,8,0,False,0.0
50,1,3,3,1,0,0,0,8,8,0,False,0.0
55,1,4,1,1,0,0,0,8,8,0,False,0.0
56,1,7,2,1,0,0,0,8,8,0,False,0.0
58,1,9,4,1,0,0,0,8,8,0,False,0.0
60,1,10,2,1,0,0,0,8,8,0,False,0.0
63,1,12,5,1,0,0,0,8,8,0,False,0.0
64,1,11,1,1,0,0,0,8,8,0,False,0.0
65,1,9,1,1,0,0,0,8,8,0,False,0.0
69,1,10,3,1,0,0,0,8,8,0,False,0.0
70,1,8,3,1,0,0,0,8,8,0,False,0.0
73,1,10,5,1,0,0,0,8,8,0,False,0.0
74,1,9,3,1,0,0,0,8,8,0,False,0.0
75,1,8,3,1,0,0,0,8,8,0,False,0.0
78,1,10,3,1,0,0,0,8,8,0,False,0.0
82,1,13,3,1,0,0,0,8,8,0,False,0.0
83,1,13,1,1,0,0,0,8,8,0,False,0.0
84,1,12,3,1,0,0,0,8,8,0,False,0.0
87,1,12,4,1,0,0,0,8,8,0,False,0.0
90,2,10,5,2,0,0,0,8,8,0,False,0.0
93,1,7,3,1,0,0,0,7.5,7.5,0,False,0.0
96,1,5,2,1,0,0,0,7.5,7.5,0,False,0.0
99,1,4,3,1,0,0,0,6,6,0,False,0.0
100,2,3,3,2,0,0,0,6,6,0,False,0.0
102,1,3,2,1,0,0,0,5,5,0,False,0.0
106,1,2,1,1,0,0,0,4.5,4.5,0,False,0.0
109,2,4,6,2,1,0,0,3,3,0,False,0.0
111,1,2,0,0,0,0,0,,,0,False,0.0
112,1,3,1,1,0,0,0,1.5,1.5,0,False,0.0
113,1,3,1,1,0,0,0,1.5,1.5,0,False,0.0
116,1,5,3,1,0,0,0,0.5,0.5,0,False,0.0
118,1,4,3,1,0,0,0,0.5,0.5,0,False,0.0
119,1,4,2,1,0,0,0,0,0,0,False,0.0
121,1,3,0,0,0,0,0,,,0,False,0.0
122,1,3,0,0,0,0,0,,,0,False,0.0
123,1,3,0,0,0,0,0,,,0,False,0.0
124,2,3,1,1,0,0,0,0,0,0,False,0.0
125,1,2,0,0,0,0,0,,,0,False,0.0
126,2,2,0,0,0,0,0,,,0,False,0.0
127,2,2,0,0,0,0,0,,,0,False,0.0
128,2,1,0,0,0,0,0,,,0,False,0.0
129,2,1,0,0,0,0,0,,,0,False,0.0
130,3,1,0,0,0,0,0,,,0,False,0.0
