time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,8,1,6,1,0,0,0,,,0,False,0.0
6,7,1,5,1,0,0,0,,,0,False,0.0
7,6,1,6,1,0,0,0,,,0,False,0.0
9,5,1,5,1,0,0,0,,,0,False,0.0
11,4,1,4,1,0,0,0,,,0,False,0.0
12,3,1,3,1,0,0,0,,,0,False,0.0
13,2,1,2,1,0,0,0,,,0,False,0.0
14,1,1,1,1,0,0,0,,,0,False,0.0
21,1,2,1,1,0,0,0,,,0,False,0.0
22,1,3,2,1,0,0,0,,,0,False,0.0
25,2,3,0,0,0,0,0,,,0,False,0.0
26,2,4,0,0,0,0,0,,,0,False,0.0
27,2,4,0,0,0,0,0,,,0,False,0.0
28,2,5,0,0,0,0,0,,,0,False,0.0
29,2,5,0,0,0,0,0,,,0,False,0.0
30,3,5,2,1,0,0,0,,,0,False,0.0
31,3,3,1,1,0,0,0,,,0,False,0.0
32,4,2,0,0,0,0,0,,,0,False,0.0
33,4,3,2,1,0,0,0,,,0,False,0.0
34,3,1,0,0,0,0,0,,,0,False,0.0
35,4,2,8,2,0,0,0,,,0,False,0.0
36,2,1,2,1,0,0,0,,,0,False,0.0
38,2,1,2,1,0,0,0,,,0,False,0.0
40,1,1,0,0,0,0,0,,,0,False,0.0
41,1,2,1,1,0,0,0,,,0,False,0.0
43,1,2,1,1,0,0,0,,,0,False,0.0
48,1,6,5,1,0,0,0,,,0,False,0.0
53,1,6,1,1,0,0,0,,,0,False,0.0
54,2,5,0,0,0,0,0,,,0,False,0.0
55,4,5,0,0,0,0,0,,,0,False,0.0
56,4,6,2,1,0,0,0,,,0,False,0.0
57,3,5,0,0,0,0,0,,,0,False,0.0
58,3,4,0,0,0,0,0,,,0,False,0.0
59,3,4,0,0,0,0,0,,,0,False,0.0
60,3,2,3,1,0,0,0,,,0,False,0.0
61,2,2,2,1,0,0,0,,,0,False,0.0
64,2,1,2,1,0,0,0,,,0,False,0.0
65,2,1,2,1,0,0,0,,,0,False,0.0
67,2,2,2,1,0,0,0,,,0,False,0.0
68,1,3,2,1,0,0,0,,,0,False,0.0
69,1,2,2,1,0,0,0,,,0,False,0.0
76,1,1,0,0,0,0,0,,,0,False,0.0
77,2,2,2,1,0,0,0,,,0,False,0.0
78,2,3,4,2,0,0,0,,,0,False,0.0
81,2,1,2,1,0,0,0,,,0,False,0.0
84,3,1,3,1,0,0,0,,,0,False,0.0
89,3,1,3,1,0,0,0,,,0,False,0.0
94,3,2,4,2,0,0,0,,,0,False,0.0
95,2,1,2,1,0,0,0,,,0,False,0.0
97,2,1,2,1,0,0,0,,,0,False,0.0
100,2,1,2,1,0,0,0,,,0,False,0.0
104,2,1,2,1,0,0,0,,,0,False,0.0
107,3,1,3,1,0,0,0,,,0,False,0.0
110,3,2,6,2,0,0,0,,,0,False,0.0
112,2,1,2,1,0,0,0,,,0,False,0.0
116,2,1,2,1,0,0,0,,,0,False,0.0
117,1,1,1,1,0,0,0,,,0,False,0.0
