id,arrival,origin,destination
966985,3.6499999999999773,170,164
962497,5.2333333333333485,163,164
957511,5.349999999999909,163,170
978863,6.366666666666561,163,162
962569,7.900000000000091,163,162
955298,18.01666666666665,163,162
953487,29.466666666666697,161,164
972923,31.15000000000009,163,161
953882,31.950000000000045,161,170
976444,32.066666666666606,162,162
976296,32.799999999999955,163,170
967021,35.59999999999991,163,233
957862,43.683333333333394,162,170
966720,46.549999999999955,161,164
969440,48.13333333333344,162,164
954041,48.15000000000009,164,161
955879,49.25,233,161
955915,52.4666666666667,164,161
976265,55.36666666666656,163,164
952951,56.01666666666665,233,161
983217,64.90000000000009,164,161
1001614,69.38333333333344,164,162
989829,71.29999999999995,170,162
984010,74.7833333333333,162,233
988160,75.2833333333333,162,233
999765,77.29999999999995,161,164
979609,85.2166666666667,162,233
1005942,86.29999999999995,161,162
1002975,87.01666666666665,163,233
991744,95.09999999999991,162,170
994037,98.4666666666667,164,170
993638,100.73333333333335,163,170
981658,112.13333333333344,233,162
1022096,118.20000000000005,163,161
1016018,119.09999999999991,161,233
