id,arrival,origin,destination
13716202,5.2000000000000455,164,163
13705017,5.866666666666561,161,162
13696345,7.883333333333439,170,164
13719433,10.283333333333303,164,170
13692517,10.716666666666697,161,170
13702589,11.38333333333344,161,164
13718178,13.36666666666656,162,162
13690286,14.599999999999909,164,163
13716106,15.75,164,162
13698411,16.23333333333335,161,164
13721444,16.433333333333394,233,163
13706161,17.783333333333303,161,233
13699901,18.25,161,162
13692362,20.666666666666742,170,163
13706312,21.183333333333394,164,164
13691138,21.466666666666697,163,161
13723837,24.61666666666656,161,233
13705914,30.09999999999991,163,164
13708637,32.58333333333326,162,164
13715344,35.76666666666665,164,233
13721312,37.049999999999955,164,233
13716107,43.38333333333344,162,162
13706979,46.9666666666667,162,162
13691694,51.66666666666674,161,164
13717056,53.61666666666656,161,164
13712691,55.76666666666665,161,164
13745495,59.183333333333394,161,164
13736353,61.9666666666667,164,170
13732142,70.7833333333333,161,164
13754679,74.20000000000005,161,164
13742157,75.98333333333335,233,161
13741147,79.58333333333326,164,163
13756175,81.91666666666674,163,170
13736540,86.66666666666674,163,162
13737800,87.8166666666666,163,170
13738738,89.4666666666667,164,161
13749556,100.2166666666667,170,161
13753475,102.9333333333334,162,161
13724803,105.0,170,170
13738049,111.26666666666665,161,161
13756966,111.98333333333335,233,161
13732587,113.79999999999995,162,164
13757091,116.20000000000005,163,164
13778999,118.88333333333344,164,163
