id,arrival,origin,destination
10147034,0.4500000000000455,233,233
10166402,2.6333333333333258,161,161
10150004,3.2666666666666515,164,163
10151904,4.9833333333333485,233,162
10161870,5.9833333333333485,163,161
10128052,9.283333333333303,163,161
10141518,9.849999999999909,161,163
10136498,12.466666666666697,161,163
10150850,14.916666666666742,162,170
10129921,15.216666666666697,163,161
10134478,15.400000000000091,161,164
10157202,18.76666666666665,233,161
10167336,19.783333333333303,170,162
10127150,20.833333333333258,161,233
10151823,20.90000000000009,163,162
10151602,23.083333333333258,161,163
10130370,23.15000000000009,161,161
10136372,23.15000000000009,163,162
10164429,24.09999999999991,162,164
10163699,24.716666666666697,161,233
10141950,25.75,161,161
10136556,26.816666666666606,170,161
10138881,27.316666666666606,161,161
10141351,30.15000000000009,161,163
10159037,30.183333333333394,163,170
10162263,32.84999999999991,233,164
10137493,35.2833333333333,162,164
10145752,35.450000000000045,163,161
10161267,36.5,163,164
10142032,37.2833333333333,161,164
10128714,41.48333333333335,162,170
10160545,43.049999999999955,170,161
10160510,45.83333333333326,164,164
10147359,46.0333333333333,170,164
10142166,47.7833333333333,161,161
10135013,48.01666666666665,162,164
10153855,48.433333333333394,161,161
10161102,48.48333333333335,162,163
10170097,52.433333333333394,162,161
10186879,53.7166666666667,162,163
10213485,55.4666666666667,163,164
10175592,55.48333333333335,170,161
10131286,55.73333333333335,163,164
10191329,55.86666666666656,233,233
10173571,56.86666666666656,162,233
10214345,57.433333333333394,161,161
10186224,57.58333333333326,161,163
10171771,58.61666666666656,170,233
10207800,59.2833333333333,170,233
10182077,60.59999999999991,163,163
10180694,60.7833333333333,162,164
10181924,61.25,163,162
10191034,61.98333333333335,163,161
10196600,62.88333333333344,163,162
10183883,65.2833333333333,164,164
10188146,65.95000000000005,170,163
10215478,66.48333333333335,233,163
10199900,67.2833333333333,163,170
10176481,67.73333333333335,161,170
10207853,69.9333333333334,162,161
10171156,70.08333333333326,163,164
10211528,71.11666666666656,164,233
10177379,72.1833333333334,233,162
10170773,72.58333333333326,170,162
10194606,73.11666666666656,161,163
10211802,73.91666666666674,163,163
10182982,75.84999999999991,170,164
10193676,76.84999999999991,162,161
10173150,77.5333333333333,170,161
10184466,77.84999999999991,163,161
10177380,78.20000000000005,162,163
10215307,78.54999999999995,161,162
10170806,78.65000000000009,161,170
10176950,80.40000000000009,161,164
10213356,80.4666666666667,170,161
10202480,81.91666666666674,164,162
10202790,82.0666666666666,163,163
10193253,83.41666666666674,161,161
10172621,84.01666666666665,161,170
10199736,84.08333333333326,162,161
10178029,86.84999999999991,163,170
10176359,86.91666666666674,163,162
10180118,87.91666666666674,164,161
10180006,88.08333333333326,161,162
10174020,91.5333333333333,162,164
10185919,92.26666666666665,170,170
10173151,94.51666666666665,162,233
10191013,96.5666666666666,162,163
10213844,97.84999999999991,162,162
10182271,100.15000000000009,170,170
10186201,101.5666666666666,162,161
10196356,102.86666666666656,162,164
10206199,106.01666666666665,170,233
10215155,107.7833333333333,162,161
10193354,108.09999999999991,164,161
10182579,111.83333333333326,161,163
10207432,112.29999999999995,170,163
10192770,112.3166666666666,163,170
10214591,113.0666666666666,162,163
10187383,115.76666666666665,162,164
10186072,115.7833333333333,163,162
10215942,118.84999999999991,161,233
10241452,119.2833333333333,164,163
