id,arrival,origin,destination
6206866,2.5666666666667197,163,162
6174656,3.033333333333303,161,170
6197081,5.0166666666666515,161,170
6197131,6.5833333333332575,163,170
6197781,6.75,163,164
6183987,9.433333333333394,161,170
6181883,10.650000000000091,233,164
6189837,15.816666666666606,162,170
6183034,16.15000000000009,164,163
6183231,16.533333333333303,233,161
6212108,19.966666666666697,161,233
6203359,22.84999999999991,164,233
6186080,23.833333333333258,170,170
6184739,24.26666666666665,163,161
6212860,26.283333333333303,170,163
6178084,28.166666666666742,164,161
6174615,28.416666666666742,162,164
6199628,30.033333333333303,161,233
6208366,30.76666666666665,161,233
6178597,31.416666666666742,170,162
6185812,35.0333333333333,163,162
6176680,40.2166666666667,164,163
6188274,41.9666666666667,163,161
6199136,42.15000000000009,233,161
6177855,44.09999999999991,162,161
6209262,47.7166666666667,170,161
6204560,47.73333333333335,233,170
6190830,55.38333333333344,161,162
6216810,57.2833333333333,161,162
6233781,57.7166666666667,161,163
6243238,59.26666666666665,233,162
6235297,59.683333333333394,163,233
6242855,60.88333333333344,161,233
6228207,62.75,170,163
6243468,63.76666666666665,164,164
6219152,64.16666666666674,170,170
6238801,64.8166666666666,163,161
6239856,65.25,162,233
6247734,67.41666666666674,163,162
6227593,68.9333333333334,164,233
6248918,69.8166666666666,164,161
6220730,71.98333333333335,161,233
6242060,74.1833333333334,164,161
6214594,75.25,161,170
6221286,81.0,162,164
6213512,85.29999999999995,170,163
6213362,86.6833333333334,164,161
6222178,87.4666666666667,170,161
6246078,90.75,170,162
6241588,90.86666666666656,163,161
6228106,93.86666666666656,163,163
6229304,97.0666666666666,163,164
6251226,100.2166666666667,170,170
6245756,100.61666666666656,162,233
6237185,101.26666666666665,162,164
6231919,106.2166666666667,161,164
6221423,111.5,164,163
6233273,114.40000000000009,170,161
6214152,116.1833333333334,163,164
