id,arrival,origin,destination
1437473,3.3999999999999773,161,162
1435864,7.900000000000091,170,162
1450547,9.066666666666606,161,164
1450270,12.75,162,233
1464619,15.533333333333303,161,163
1447920,26.216666666666697,170,164
1458841,27.5,161,161
1447768,29.466666666666697,170,161
1461187,32.34999999999991,161,233
1451686,35.75,161,162
1450255,37.433333333333394,163,162
1443453,39.88333333333344,164,161
1450215,41.799999999999955,161,164
1437780,42.01666666666665,161,170
1436780,42.58333333333326,161,164
1457820,47.26666666666665,161,233
1458137,48.950000000000045,170,164
1440734,52.98333333333335,163,164
1451874,53.0,164,164
1453139,53.76666666666665,163,162
1478809,60.049999999999955,162,161
1491876,65.0333333333333,161,233
1493319,67.58333333333326,164,161
1474263,68.8166666666666,163,162
1479684,68.98333333333335,163,164
1472379,72.70000000000005,162,233
1493132,79.08333333333326,161,164
1495374,79.48333333333335,164,161
1476617,79.70000000000005,163,162
1475510,82.0333333333333,162,163
1469482,87.40000000000009,162,164
1486858,90.2166666666667,163,233
1467112,91.7166666666667,164,161
1480710,92.51666666666665,164,161
1493805,94.0666666666666,170,162
1477049,95.76666666666665,164,161
1487440,96.41666666666674,161,170
1473170,102.08333333333326,233,161
1482967,107.38333333333344,162,162
1468899,110.98333333333335,170,162
1475607,115.76666666666665,161,170
1468379,118.41666666666674,163,233
1496822,118.48333333333335,164,233
