id,arrival,origin,destination
14861211,4.4166666666667425,163,161
14862039,4.75,161,161
14866842,6.599999999999909,161,161
14873165,7.716666666666697,170,233
14893179,10.083333333333258,163,164
14876853,10.61666666666656,170,163
14857506,11.599999999999909,164,170
14861630,12.299999999999955,164,163
14866365,19.84999999999991,164,233
14863037,20.183333333333394,164,233
14866566,23.48333333333335,162,170
14874803,28.200000000000045,163,164
14888344,29.25,161,233
14856712,29.583333333333258,161,163
14875148,31.950000000000045,170,170
14858910,32.01666666666665,163,164
14885779,33.01666666666665,161,233
14858015,33.299999999999955,170,163
14894644,34.40000000000009,163,164
14863581,34.65000000000009,161,162
14872207,35.48333333333335,161,161
14876066,36.683333333333394,161,164
14870485,39.200000000000045,164,163
14864662,41.36666666666656,164,233
14892042,45.88333333333344,164,161
14865612,46.316666666666606,161,163
14886511,47.48333333333335,164,164
14890619,47.91666666666674,162,163
14879875,50.58333333333326,162,233
14873995,51.950000000000045,170,161
14860024,53.16666666666674,233,164
14866044,54.9666666666667,161,163
14877616,55.433333333333394,161,161
14867558,56.816666666666606,163,233
14857020,57.09999999999991,162,161
14906012,59.066666666666606,161,164
14916252,61.049999999999955,164,161
14908483,61.25,162,161
14926310,62.75,163,161
14908540,63.16666666666674,161,170
14921380,64.29999999999995,161,170
14911370,64.65000000000009,162,163
14934276,68.84999999999991,162,161
14931712,70.38333333333344,163,161
14896180,71.86666666666656,161,164
14902429,73.61666666666656,164,163
14899390,73.79999999999995,164,170
14906946,77.04999999999995,163,162
14925357,77.15000000000009,163,161
14923314,78.2166666666667,233,161
14913866,83.61666666666656,161,164
14910802,84.58333333333326,161,161
14931713,89.4333333333334,161,170
14933495,91.11666666666656,164,162
14921315,92.54999999999995,163,163
14915278,92.86666666666656,163,163
14911234,94.86666666666656,161,164
14926695,95.7833333333333,164,163
14916017,98.4666666666667,162,170
14930613,100.2833333333333,233,163
14904123,101.20000000000005,161,233
14910760,102.34999999999991,161,164
14904807,103.1833333333334,162,164
14895673,104.20000000000005,163,161
14916360,106.65000000000009,161,170
14896226,109.59999999999991,161,161
14918599,110.2833333333333,233,164
14939084,111.59999999999991,164,162
14906943,113.2166666666667,161,161
14919752,113.86666666666656,233,164
14941570,115.65000000000009,170,161
14936953,115.79999999999995,170,170
