id,arrival,origin,destination
6846624,5.349999999999909,162,233
6813011,7.5499999999999545,161,162
6821342,9.316666666666606,164,161
6814727,11.016666666666652,233,161
6845749,12.450000000000045,170,161
6823500,15.25,170,161
6825686,17.966666666666697,164,164
6824590,18.200000000000045,163,161
6816415,18.683333333333394,162,162
6828231,19.98333333333335,161,161
6843333,21.86666666666656,164,164
6827774,23.799999999999955,161,164
6825614,25.61666666666656,162,233
6812395,29.166666666666742,161,164
6821922,30.15000000000009,170,161
6835202,30.36666666666656,164,233
6831515,31.15000000000009,170,170
6816251,33.049999999999955,233,170
6822120,34.25,233,162
6817922,35.59999999999991,161,161
6823564,35.933333333333394,233,161
6815696,37.73333333333335,162,164
6828842,39.200000000000045,164,170
6818999,42.566666666666606,163,162
6849171,46.799999999999955,233,162
6811098,47.0,161,163
6828030,56.59999999999991,233,163
6879091,57.816666666666606,162,164
6877691,58.88333333333344,164,233
6891861,64.86666666666656,162,161
6872025,68.0,170,170
6859056,68.45000000000005,170,164
6851313,70.7833333333333,162,164
6864727,76.70000000000005,164,161
6856422,78.0333333333333,161,161
6881828,80.9666666666667,163,161
6861951,83.29999999999995,162,233
6851600,84.9666666666667,233,162
6870815,89.01666666666665,161,163
6879141,93.08333333333326,161,161
6871641,98.34999999999991,170,164
6853660,99.1833333333334,233,161
6866173,101.41666666666674,161,233
6854724,101.75,233,161
6875726,102.13333333333344,163,161
6865914,106.88333333333344,170,164
6859213,107.08333333333326,233,163
6889303,108.08333333333326,161,233
6881690,111.4666666666667,170,170
6927949,117.5666666666666,162,161
