id,arrival,origin,destination
1979149,2.533333333333303,162,164
1988762,9.166666666666742,161,170
1953790,10.233333333333348,162,161
1980494,13.299999999999955,164,161
1970226,14.049999999999955,170,163
1989734,14.150000000000091,170,164
1971690,15.13333333333344,163,233
1963502,15.650000000000091,162,161
1956063,16.333333333333258,162,233
1990410,20.549999999999955,163,170
1954801,26.15000000000009,170,233
1985933,28.98333333333335,162,233
1956554,30.13333333333344,163,161
1975157,30.216666666666697,163,164
1961176,31.84999999999991,161,233
1985065,37.16666666666674,164,163
1980836,41.98333333333335,164,163
1956253,42.38333333333344,162,164
1964468,43.183333333333394,161,170
1989985,46.66666666666674,162,233
1987377,47.75,163,170
1960605,51.4666666666667,162,164
2002141,59.41666666666674,162,170
1993791,61.76666666666665,161,233
2002254,62.7833333333333,164,170
1993191,66.04999999999995,170,164
1998331,69.08333333333326,161,233
1997598,69.4666666666667,170,164
2011575,70.91666666666674,170,233
1992242,71.63333333333344,161,233
2005261,80.73333333333335,162,161
2027049,82.65000000000009,170,162
2025042,83.70000000000005,170,164
1998382,84.09999999999991,170,163
2005304,86.70000000000005,161,164
2011489,95.3166666666666,161,164
2025693,98.34999999999991,170,233
2027562,98.91666666666674,163,163
2014520,102.70000000000005,162,170
2004284,109.54999999999995,161,170
1995243,111.3166666666666,162,233
2024905,116.38333333333344,164,162
