time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,12,1,3,1,2,0,0,7,7,0,False,0.0
6,11,1,2,1,1,0,0,6.5,6.5,0,False,0.0
7,10,1,0,0,0,0,0,,,0,False,0.0
8,10,1,0,0,0,0,0,,,0,False,0.0
9,10,2,4,1,3,1,0,11,11,0,False,0.0
10,9,1,0,0,0,0,0,,,0,False,0.0
11,9,2,0,0,0,0,0,,,0,False,0.0
12,9,3,0,0,0,0,0,,,0,False,0.0
13,9,4,0,0,0,0,0,,,0,False,0.0
14,9,5,3,1,2,1,0,11,11,0,False,0.0
15,8,3,0,0,0,0,0,,,0,False,0.0
16,8,4,2,1,1,0,0,8,8,0,False,0.0
17,7,3,0,0,0,0,0,,,0,False,0.0
18,7,3,0,0,0,0,0,,,0,False,0.0
19,7,3,0,0,0,0,0,,,0,False,0.0
20,8,2,0,0,0,0,0,,,0,False,0.0
21,8,1,0,0,0,0,0,,,0,False,0.0
22,9,3,3,1,2,0,0,8,8,0,False,0.0
23,8,3,2,1,2,1,1,6,6.5,1,True,3.7666666666666657
24,7,2,0,0,0,0,0,,,0,False,0.0
25,8,2,0,0,0,0,0,,,0,False,0.0
26,8,3,3,1,2,0,0,8.5,8.5,0,False,0.0
27,7,1,0,0,0,0,0,,,0,False,0.0
28,8,2,3,1,4,3,3,6.5,7,1,True,4.491666666666667
29,7,1,0,0,0,0,0,,,0,False,0.0
33,8,1,3,1,2,1,0,6,6,0,False,0.0
35,7,2,0,0,0,0,0,,,0,False,0.0
36,7,3,1,1,0,0,0,5.5,5.5,0,False,0.0
37,6,2,0,0,0,0,0,,,0,False,0.0
38,7,3,2,1,1,0,0,4,4,0,False,0.0
39,7,2,0,0,0,0,0,,,0,False,0.0
40,7,3,3,1,2,0,0,5.5,5.5,0,False,0.0
41,7,3,0,0,0,0,0,,,0,False,0.0
42,7,4,0,0,0,0,0,,,0,False,0.0
43,7,2,0,0,0,0,0,,,0,False,0.0
44,7,2,0,0,0,0,0,,,0,False,0.0
45,8,2,0,0,0,0,0,,,0,False,0.0
46,8,3,2,1,1,0,0,7,7,0,False,0.0
