time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,12,1,3,1,0,0,0,,,0,False,0.0
3,11,1,0,0,0,0,0,,,0,False,0.0
4,11,2,0,0,0,0,0,,,0,False,0.0
5,11,3,2,1,0,0,0,,,0,False,0.0
6,10,3,5,1,0,0,0,,,0,False,0.0
7,9,2,0,0,0,0,0,,,0,False,0.0
8,9,2,0,0,0,0,0,,,0,False,0.0
9,9,2,0,0,0,0,0,,,0,False,0.0
10,9,4,4,1,0,0,0,,,0,False,0.0
11,8,2,0,0,0,0,0,,,0,False,0.0
12,8,1,0,0,0,0,0,,,0,False,0.0
13,8,2,0,0,0,0,0,,,0,False,0.0
14,9,2,0,0,0,0,0,,,0,False,0.0
15,9,3,6,1,0,0,0,,,0,False,0.0
16,8,4,3,1,0,0,0,,,0,False,0.0
17,7,3,0,0,0,0,0,,,0,False,0.0
18,7,2,0,0,0,0,0,,,0,False,0.0
19,8,3,2,1,0,0,0,,,0,False,0.0
20,7,3,0,0,0,0,0,,,0,False,0.0
21,7,4,2,1,0,0,0,,,0,False,0.0
22,7,3,0,0,0,0,0,,,0,False,0.0
23,7,3,0,0,0,0,0,,,0,False,0.0
24,7,5,1,1,0,0,0,,,0,False,0.0
25,6,6,1,1,0,0,0,,,0,False,0.0
26,6,6,0,0,0,0,0,,,0,False,0.0
27,6,7,0,0,0,0,0,,,0,False,0.0
28,6,7,0,0,0,0,0,,,0,False,0.0
29,6,6,0,0,0,0,0,,,0,False,0.0
30,7,6,0,0,0,0,0,,,0,False,0.0
31,7,8,0,0,0,0,0,,,0,False,0.0
32,8,6,0,0,0,0,0,,,0,False,0.0
33,8,6,1,1,0,0,0,,,0,False,0.0
34,7,4,0,0,0,0,0,,,0,False,0.0
35,7,3,0,0,0,0,0,,,0,False,0.0
36,8,4,0,0,0,0,0,,,0,False,0.0
