time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,12,1,6,1,5,0,0,6.5,6.5,0,False,0.0
3,11,1,0,0,0,0,0,,,0,False,0.0
4,11,2,1,1,0,0,0,5.5,5.5,0,False,0.0
5,10,2,5,1,4,0,0,6.5,6.5,0,False,0.0
6,9,2,1,1,0,0,0,4.5,4.5,0,False,0.0
7,8,1,0,0,0,0,0,,,0,False,0.0
8,8,1,0,0,0,0,0,,,0,False,0.0
9,8,1,0,0,0,0,0,,,0,False,0.0
10,8,3,0,0,0,0,0,,,0,False,0.0
11,8,2,0,0,0,0,0,,,0,False,0.0
12,8,2,0,0,0,0,0,,,0,False,0.0
13,9,3,0,0,0,0,0,,,0,False,0.0
14,9,3,0,0,0,0,0,,,0,False,0.0
15,9,4,9,1,8,0,0,5,5,0,False,0.0
16,8,5,0,0,0,0,0,,,0,False,0.0
17,8,5,0,0,0,0,0,,,0,False,0.0
18,9,3,0,0,0,0,0,,,0,False,0.0
19,9,4,5,1,4,0,0,5,5,0,False,0.0
20,8,4,2,1,1,0,0,5.5,5.5,0,False,0.0
21,7,4,0,0,0,0,0,,,0,False,0.0
22,8,4,0,0,0,0,0,,,0,False,0.0
23,8,4,0,0,0,0,0,,,0,False,0.0
24,8,5,0,0,0,0,0,,,0,False,0.0
25,9,7,2,1,1,0,0,5.5,5.5,0,False,0.0
26,8,7,0,0,0,0,0,,,0,False,0.0
27,8,8,1,1,0,0,0,5.5,5.5,0,False,0.0
28,7,8,0,0,0,0,0,,,0,False,0.0
29,7,6,0,0,0,0,0,,,0,False,0.0
30,8,6,0,0,0,0,0,,,0,False,0.0
31,8,8,1,1,0,0,0,4.5,4.5,0,False,0.0
32,7,4,0,0,0,0,0,,,0,False,0.0
33,7,4,2,1,2,1,1,4,4.5,1,True,0.7000000000000002
34,7,2,0,0,0,0,0,,,0,False,0.0
35,7,2,0,0,0,0,0,,,0,False,0.0
36,8,3,1,1,0,0,0,4.5,4.5,0,False,0.0
37,7,3,0,0,0,0,0,,,0,False,0.0
38,7,4,0,0,0,0,0,,,0,False,0.0
39,7,3,0,0,0,0,0,,,0,False,0.0
40,7,3,0,0,0,0,0,,,0,False,0.0
41,7,3,0,0,0,0,0,,,0,False,0.0
42,7,4,0,0,0,0,0,,,0,False,0.0
43,9,4,0,0,0,0,0,,,0,False,0.0
44,9,4,1,1,0,0,0,5.5,5.5,0,False,0.0
45,8,2,0,0,0,0,0,,,0,False,0.0
46,8,2,1,1,0,0,0,4,4,0,False,0.0
47,7,2,0,0,0,0,0,,,0,False,0.0
48,7,3,0,0,0,0,0,,,0,False,0.0
49,7,6,0,0,0,0,0,,,0,False,0.0
50,8,5,0,0,0,0,0,,,0,False,0.0
51,9,5,0,0,0,0,0,,,0,False,0.0
52,9,5,0,0,0,0,0,,,0,False,0.0
53,9,6,0,0,0,0,0,,,0,False,0.0
54,10,7,8,1,14,13,13,4.5,5.5,1,True,2.916666666666667
55,9,5,0,0,0,0,0,,,0,False,0.0
56,9,8,4,2,1,0,0,4.5,4.5,0,False,0.0
57,7,4,6,1,5,0,0,5,5,0,False,0.0
58,6,5,0,0,0,0,0,,,0,False,0.0
59,6,6,1,1,0,0,0,6,6,0,False,0.0
60,7,6,1,1,0,0,0,6.5,6.5,0,False,0.0
61,6,6,6,1,5,0,0,6,6,0,False,0.0
62,5,7,0,0,0,0,0,,,0,False,0.0
63,5,8,0,0,0,0,0,,,0,False,0.0
64,5,6,0,0,0,0,0,,,0,False,0.0
65,5,6,0,0,0,0,0,,,0,False,0.0
66,5,6,0,0,0,0,0,,,0,False,0.0
67,5,7,0,0,0,0,0,,,0,False,0.0
68,6,9,1,1,0,0,0,6.5,6.5,0,False,0.0
69,5,7,0,0,0,0,0,,,0,False,0.0
70,5,6,5,1,4,0,0,5.5,5.5,0,False,0.0
71,4,5,0,0,0,0,0,,,0,False,0.0
72,6,6,0,0,0,0,0,,,0,False,0.0
73,8,8,4,2,1,0,0,7.5,7.5,0,False,0.0
74,7,6,1,1,0,0,0,5,5,0,False,0.0
75,6,5,0,0,0,0,0,,,0,False,0.0
76,6,4,1,1,0,0,0,5,5,0,False,0.0
77,5,4,5,1,4,0,0,5,5,0,False,0.0
78,4,5,0,0,0,0,0,,,0,False,0.0
79,4,7,0,0,0,0,0,,,0,False,0.0
80,5,6,0,0,0,0,0,,,0,False,0.0
81,5,8,1,1,0,0,0,6,6,0,False,0.0
82,4,7,0,0,0,0,0,,,0,False,0.0
83,4,8,0,0,0,0,0,,,0,False,0.0
84,4,9,0,0,0,0,0,,,0,False,0.0
85,4,11,0,0,0,0,0,,,0,False,0.0
86,5,9,0,0,0,0,0,,,0,False,0.0
87,7,8,2,1,0,0,0,5,5,0,False,0.0
88,8,8,1,1,0,0,0,5.5,5.5,0,False,0.0
89,7,7,0,0,0,0,0,,,0,False,0.0
90,7,6,0,0,0,0,0,,,0,False,0.0
91,8,5,0,0,0,0,0,,,0,False,0.0
92,8,5,2,1,1,0,0,5,5,0,False,0.0
93,7,3,1,1,0,0,0,4,4,0,False,0.0
94,7,2,0,0,0,0,0,,,0,False,0.0
95,7,3,1,1,0,0,0,3,3,0,False,0.0
96,6,1,0,0,0,0,0,,,0,False,0.0
97,6,1,0,0,0,0,0,,,0,False,0.0
98,7,2,7,1,6,0,0,3,3,0,False,0.0
