max_wait_minutes,fleet,policy,weight,service_rate,mean_wait_min,idle_share,passenger_share,mean_decision_ms
8,8,Baseline,0,0.3074866310160428,6.983840579710137,0.6957884837962962,0.1762818287037037,0.0128732510557609
8,8,Selected lookahead,10,0.3449197860962567,7.0151162790697565,0.6585474537037037,0.1973668981481481,0.1799658632503158
8,12,Baseline,0,0.4171122994652406,6.899893162393153,0.7187364969135802,0.1663869598765431,0.0162206324424258
8,12,Selected lookahead,10,0.46524064171123,6.937212643678155,0.6871257716049383,0.1844666280864197,0.3319827792770268
10,8,Baseline,0,0.6443850267379679,7.905982019363762,0.3495789930555555,0.350457175925926,0.0091494314067306
10,8,Selected lookahead,0,0.6443850267379679,7.905982019363762,0.3495789930555555,0.350457175925926,0.0091494314067306
10,12,Baseline,0,0.8368983957219251,7.8531948881789155,0.4319357638888887,0.3099836033950617,0.0115160531425163
10,12,Selected lookahead,0,0.8368983957219251,7.8531948881789155,0.4319357638888887,0.3099836033950617,0.0115160531425163
12,8,Baseline,0,0.6978609625668449,8.933141762452111,0.2832769097222221,0.3750217013888888,0.0097137372257763
12,8,Selected lookahead,0,0.6978609625668449,8.933141762452111,0.2832769097222221,0.3750217013888888,0.0097137372257763
12,12,Baseline,0,0.893048128342246,8.413373253493015,0.3805912422839504,0.3292717978395063,0.0107631109149361
12,12,Selected lookahead,3,0.8983957219251337,8.404365079365082,0.3761564429012343,0.3321286651234568,1.0899147481533669
