time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,8,1,3,1,0,0,0,,,0,False,0.0
3,7,1,0,0,0,0,0,,,0,False,0.0
4,7,2,0,0,0,0,0,,,0,False,0.0
5,7,3,2,1,0,0,0,,,0,False,0.0
6,6,3,1,1,0,0,0,,,0,False,0.0
7,5,2,0,0,0,0,0,,,0,False,0.0
8,5,2,0,0,0,0,0,,,0,False,0.0
9,5,2,0,0,0,0,0,,,0,False,0.0
10,5,4,0,0,0,0,0,,,0,False,0.0
11,5,3,0,0,0,0,0,,,0,False,0.0
12,5,2,0,0,0,0,0,,,0,False,0.0
13,6,3,0,0,0,0,0,,,0,False,0.0
14,6,3,0,0,0,0,0,,,0,False,0.0
15,6,4,6,1,0,0,0,,,0,False,0.0
16,5,5,0,0,0,0,0,,,0,False,0.0
17,5,5,0,0,0,0,0,,,0,False,0.0
18,6,3,0,0,0,0,0,,,0,False,0.0
19,6,4,2,1,0,0,0,,,0,False,0.0
20,5,4,0,0,0,0,0,,,0,False,0.0
21,5,5,0,0,0,0,0,,,0,False,0.0
22,6,5,0,0,0,0,0,,,0,False,0.0
23,6,5,0,0,0,0,0,,,0,False,0.0
24,6,6,0,0,0,0,0,,,0,False,0.0
25,6,8,1,1,0,0,0,,,0,False,0.0
26,5,8,0,0,0,0,0,,,0,False,0.0
27,5,9,0,0,0,0,0,,,0,False,0.0
28,5,9,0,0,0,0,0,,,0,False,0.0
29,5,7,0,0,0,0,0,,,0,False,0.0
30,6,7,0,0,0,0,0,,,0,False,0.0
31,6,9,0,0,0,0,0,,,0,False,0.0
32,6,6,0,0,0,0,0,,,0,False,0.0
33,6,6,1,1,0,0,0,,,0,False,0.0
34,5,4,0,0,0,0,0,,,0,False,0.0
35,5,3,0,0,0,0,0,,,0,False,0.0
36,6,4,0,0,0,0,0,,,0,False,0.0
37,6,5,0,0,0,0,0,,,0,False,0.0
