time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,8,1,6,1,0,0,0,,,0,False,0.0
3,7,1,7,1,0,0,0,,,0,False,0.0
4,6,1,0,0,0,0,0,,,0,False,0.0
5,6,2,4,1,0,0,0,,,0,False,0.0
6,5,2,5,1,0,0,0,,,0,False,0.0
7,4,1,0,0,0,0,0,,,0,False,0.0
8,4,1,0,0,0,0,0,,,0,False,0.0
9,4,1,0,0,0,0,0,,,0,False,0.0
10,4,3,7,2,0,0,0,,,0,False,0.0
11,2,1,0,0,0,0,0,,,0,False,0.0
12,2,1,0,0,0,0,0,,,0,False,0.0
13,2,2,2,1,0,0,0,,,0,False,0.0
15,2,1,2,1,0,0,0,,,0,False,0.0
16,1,2,0,0,0,0,0,,,0,False,0.0
17,1,2,0,0,0,0,0,,,0,False,0.0
18,1,2,0,0,0,0,0,,,0,False,0.0
19,2,3,2,1,0,0,0,,,0,False,0.0
20,2,3,2,1,0,0,0,,,0,False,0.0
21,1,4,2,1,0,0,0,,,0,False,0.0
22,1,3,0,0,0,0,0,,,0,False,0.0
23,1,3,0,0,0,0,0,,,0,False,0.0
24,1,6,3,1,0,0,0,,,0,False,0.0
26,1,6,3,1,0,0,0,,,0,False,0.0
28,1,7,1,1,0,0,0,,,0,False,0.0
30,1,6,1,1,0,0,0,,,0,False,0.0
31,1,6,2,1,0,0,0,,,0,False,0.0
36,2,4,3,2,0,0,0,,,0,False,0.0
39,1,4,0,0,0,0,0,,,0,False,0.0
40,1,4,0,0,0,0,0,,,0,False,0.0
41,1,3,0,0,0,0,0,,,0,False,0.0
42,2,4,2,1,0,0,0,,,0,False,0.0
43,1,2,0,0,0,0,0,,,0,False,0.0
44,1,3,0,0,0,0,0,,,0,False,0.0
45,2,3,1,1,0,0,0,,,0,False,0.0
46,3,3,2,1,0,0,0,,,0,False,0.0
47,2,2,0,0,0,0,0,,,0,False,0.0
48,2,2,2,1,0,0,0,,,0,False,0.0
49,1,4,2,1,0,0,0,,,0,False,0.0
50,1,3,3,1,0,0,0,,,0,False,0.0
54,1,4,0,0,0,0,0,,,0,False,0.0
55,2,4,1,1,0,0,0,,,0,False,0.0
56,1,7,2,1,0,0,0,,,0,False,0.0
58,1,9,2,1,0,0,0,,,0,False,0.0
62,1,12,3,1,0,0,0,,,0,False,0.0
63,1,11,0,0,0,0,0,,,0,False,0.0
64,2,11,0,0,0,0,0,,,0,False,0.0
65,3,11,0,0,0,0,0,,,0,False,0.0
66,3,11,5,2,0,0,0,,,0,False,0.0
67,2,9,2,1,0,0,0,,,0,False,0.0
68,1,8,2,1,0,0,0,,,0,False,0.0
70,1,6,1,1,0,0,0,,,0,False,0.0
73,2,5,3,2,0,0,0,,,0,False,0.0
80,1,11,1,1,0,0,0,,,0,False,0.0
81,1,12,1,1,0,0,0,,,0,False,0.0
86,2,11,2,1,0,0,0,,,0,False,0.0
87,2,11,4,2,0,0,0,,,0,False,0.0
89,1,7,1,1,0,0,0,,,0,False,0.0
90,1,6,0,0,0,0,0,,,0,False,0.0
91,1,5,0,0,0,0,0,,,0,False,0.0
92,1,5,1,1,0,0,0,,,0,False,0.0
94,1,3,1,1,0,0,0,,,0,False,0.0
97,1,3,1,1,0,0,0,,,0,False,0.0
98,1,2,1,1,0,0,0,,,0,False,0.0
103,2,4,4,2,0,0,0,,,0,False,0.0
106,1,1,0,0,0,0,0,,,0,False,0.0
107,2,2,2,1,0,0,0,,,0,False,0.0
108,1,2,1,1,0,0,0,,,0,False,0.0
109,1,2,1,1,0,0,0,,,0,False,0.0
112,1,1,1,1,0,0,0,,,0,False,0.0
113,1,2,1,1,0,0,0,,,0,False,0.0
115,1,2,1,1,0,0,0,,,0,False,0.0
118,1,3,1,1,0,0,0,,,0,False,0.0
119,1,3,0,0,0,0,0,,,0,False,0.0
120,1,4,0,0,0,0,0,,,0,False,0.0
121,1,4,0,0,0,0,0,,,0,False,0.0
122,2,4,1,1,0,0,0,,,0,False,0.0
123,2,3,0,0,0,0,0,,,0,False,0.0
124,2,2,0,0,0,0,0,,,0,False,0.0
125,2,2,0,0,0,0,0,,,0,False,0.0
126,2,1,0,0,0,0,0,,,0,False,0.0
127,2,1,0,0,0,0,0,,,0,False,0.0
128,3,1,0,0,0,0,0,,,0,False,0.0
