date,seed,fleet,weight,policy,requests,served,expired,service_rate,mean_wait_min,p90_wait_min,mean_pickup_min,idle_share,pickup_share,passenger_share,mean_decision_ms,max_decision_ms,drain_end_min,decision_epochs,epochs_with_evaluated_alternatives,epochs_with_future_count_difference,epochs_with_higher_future_count,changed_from_same_state_baseline,evaluated_candidates,expired_no_decision_epoch_before_expiry,expired_feasible_at_least_once_but_unserved,expired_idle_but_unreachable_at_every_epoch,expired_no_idle_at_every_epoch,expired_mixed_no_idle_and_unreachable
2024-01-16,2026,8,0,baseline,57,44,13,0.7719298245614035,7.903598484848485,9.218333333333291,7.268371212121211,0.29441840277777775,0.3283854166666666,0.3771961805555556,0.008222299270685119,0.03650000144261867,134,87,0,0,0,0,0,0,4,3,0,6
2024-01-16,2026,8,3,lookahead,57,44,13,0.7719298245614035,7.882765151515148,9.183333333333422,7.305871212121212,0.29288194444444454,0.3301041666666666,0.3770138888888889,0.3849959877483985,1.9008340022992343,134,85,26,2,1,1,48,0,3,3,0,7
2024-01-16,2026,8,10,lookahead,57,44,13,0.7719298245614035,7.882765151515148,9.183333333333422,7.305871212121212,0.29288194444444454,0.3301041666666666,0.3770138888888889,0.3810760108000763,2.0460839878069237,134,85,26,2,1,1,48,0,3,3,0,7
2024-01-16,2027,8,0,baseline,57,44,13,0.7719298245614035,7.753219696969696,9.180833333333364,7.1960227272727275,0.30009548611111114,0.32506944444444436,0.3748350694444445,0.007986715982869182,0.031000003218650818,134,88,0,0,0,0,0,0,3,3,0,7
2024-01-16,2027,8,3,lookahead,57,44,13,0.7719298245614035,7.753219696969696,9.180833333333364,7.1960227272727275,0.30009548611111114,0.32506944444444436,0.3748350694444445,0.34604596641491464,1.4822090015513822,134,88,25,2,1,0,42,0,3,3,0,7
2024-01-16,2027,8,10,lookahead,57,44,13,0.7719298245614035,7.857575757575754,9.183333333333422,7.303409090909091,0.29299479166666664,0.32999131944444443,0.3770138888888889,0.3875441405826303,2.551917001255788,134,85,26,2,1,1,48,0,3,3,0,7
2024-01-17,2026,8,0,baseline,103,56,47,0.5436893203883495,8.370089285714304,9.662500000000044,7.448065476190476,0.1141059027777778,0.41976562500000003,0.4661284722222222,0.009626732412791272,0.07066699618007988,143,71,0,0,0,0,0,0,7,0,0,40
2024-01-17,2026,8,3,lookahead,103,56,47,0.5436893203883495,8.400892857142876,9.741666666666712,7.3898809523809526,0.11618055555555516,0.4146614583333335,0.4691579861111113,0.4599654423405549,1.9798749999608845,138,70,15,3,1,1,32,0,8,0,0,39
2024-01-17,2026,8,10,lookahead,103,56,47,0.5436893203883495,8.400892857142876,9.741666666666712,7.3898809523809526,0.11618055555555516,0.4146614583333335,0.4691579861111113,0.4627535136283508,2.0970839977962896,138,70,15,3,1,1,32,0,8,0,0,39
2024-01-17,2027,8,0,baseline,103,55,48,0.5339805825242718,8.300303030303052,9.599999999999946,7.378181818181818,0.13113715277777752,0.40785590277777783,0.4610069444444446,0.00819915880040243,0.029750008252449334,143,82,0,0,0,0,0,0,13,2,0,33
