day,seed,policy,requests,served,expired,service_rate,mean_wait_min,p90_wait_min,mean_pickup_min,idle_share,pickup_share,passenger_share,mean_decision_ms,max_decision_ms,drain_end_min,decision_epochs,epochs_with_evaluated_alternatives,epochs_with_future_count_difference,epochs_with_higher_future_count,changed_from_same_state_baseline,evaluated_candidates,expired_no_decision_epoch_before_expiry,expired_feasible_at_least_once_but_unserved,expired_idle_but_unreachable_at_every_epoch,expired_no_idle_at_every_epoch,expired_mixed_no_idle_and_unreachable
1,2026,baseline,106,41,65,0.3867924528301887,3.6060190730789685,5.827379180036942,2.8048780487804876,0.7069444444444445,0.0798611111111111,0.21319444444444444,0.01720417298830724,0.06812499486841261,188.0,162,0,0,0,0,0,0,1,64,0,0
1,2026,lookahead,106,41,65,0.3867924528301887,3.6060190730789685,5.827379180036942,2.8048780487804876,0.7069444444444445,0.0798611111111111,0.21319444444444444,0.25386879591409256,3.5674579994520172,188.0,162,25,2,0,0,104,0,1,64,0,0
2,2027,baseline,107,43,64,0.40186915887850466,4.270529860668085,6.650882663062321,3.255813953488372,0.6736111111111112,0.09722222222222222,0.22916666666666666,0.015931303972717036,0.06566700176335871,183.0,165,0,0,0,0,0,0,3,61,0,0
2,2027,lookahead,107,43,64,0.40186915887850466,4.270529860668085,6.650882663062321,3.255813953488372,0.6736111111111112,0.09722222222222222,0.22916666666666666,0.19938689744749077,1.5741670067654923,183.0,165,26,1,0,0,82,0,3,61,0,0
3,2028,baseline,126,60,66,0.47619047619047616,3.9159897035030067,6.59486776607778,2.85,0.5701388888888889,0.11875,0.3111111111111111,0.015156066850371038,0.09908400534186512,191.0,180,0,0,0,0,0,0,12,49,0,5
3,2028,lookahead,126,60,66,0.47619047619047616,3.9159897035030067,6.59486776607778,2.85,0.5701388888888889,0.11875,0.3111111111111111,0.2561558000808064,2.6838339981622994,191.0,180,32,1,0,0,126,0,12,49,0,5
